Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_3.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_I.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_II.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_III.raw
SPO3024	"Adenylate/guanylate cyclase/hydrolase, alpha/beta fold family"				771581	691649	867650	755957	2.27534e+07	591539	629618	583074		665968		556285			
SPO3025	Enoyl-CoA hydratase/isomerase family protein				8.93326e+06	4.34645e+06	8.65299e+06	8.64305e+06		3.50286e+06	5.67057e+06	5.48083e+06		5.67875e+06		3.53562e+06			
SPO3026	Strictosidine synthase family protein				4.05241e+06	3.63023e+06	3.48201e+06	3.24438e+06		3.63884e+06	3.45703e+06	3.45397e+06		3.52872e+06		3.67102e+06			
SPO3027	"Aminotransferase, classes I and II"				3.14319e+06	3.49837e+06	3.06115e+06	2.97553e+06		3.602e+06	3.26768e+06	3.37011e+06		3.32227e+06		3.64351e+06			309406
SPO3029	"Serine--glyoxylate transaminase, putative"				5.44541e+06	3.38271e+06	4.95127e+06	4.90405e+06		3.36929e+06	3.93376e+06	3.87618e+06		3.75046e+06	2.64559e+07	3.26453e+06	2.54745e+07	2.54682e+07	1.90667e+07
SPO3030	"Efflux ABC transporter, transmembrane ATP-binding protein"				1.90381e+06	2.50843e+06	3.1359e+06	2.99195e+06	7.8132e+07	2.25833e+06	2.12987e+06	2.04729e+06	3.27549e+08	2.06962e+06		2.31582e+06			8.30954e+06
SPO3031	2-dehydro-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14)				5.79341e+06	1.18368e+07	7.3601e+06	6.87488e+06	1.85294e+07	1.20205e+07	8.01406e+06	7.5157e+06	1.80512e+07	7.80462e+06	2.25556e+07	1.32599e+07	2.03746e+08	2.04756e+08	2.13061e+08
SPO3032	Phosphogluconate dehydratase (EC 4.2.1.12)				1.12172e+07	1.18259e+07	9.21648e+06	9.17657e+06	6.2452e+06	1.29558e+07	1.13068e+07	1.16391e+07	6.11742e+06	1.15834e+07	8.394e+06	1.25879e+07		139498	170666
SPO3033	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)				8.61783e+06	1.34339e+07	1.08852e+07	1.11859e+07	9.01597e+06	1.26081e+07	1.42037e+07	1.38041e+07	8.6018e+06	1.38973e+07	7.32579e+06	1.29199e+07			2.11722e+06
SPO3034	phosphoenolpyruvate--protein phosphotransferase (EC 2.7.3.9)				7.39795e+06	5.12314e+06	7.50045e+06	7.68684e+06	9.13607e+06	4.9366e+06	5.07361e+06	5.03817e+06	4.96211e+06	5.05295e+06		5.1173e+06	370918		69025.8
SPO3035	Aspartokinase (EC 2.7.2.4)				7.88697e+06	8.69158e+06	1.22759e+07	1.10605e+07	8.88616e+06	8.51538e+06	1.17213e+07	1.086e+07	1.13695e+07	1.17685e+07	1.02863e+07	8.32921e+06			
SPO3036	Metallo-beta-lactamase family protein				3.14777e+06	4.7891e+06	4.61464e+06	4.53464e+06	2.10683e+06	4.11648e+06	5.10214e+06	5.01949e+06	2.97731e+06	4.89684e+06	3.28314e+06	4.24657e+06	2.64535e+07	3.04004e+07	2.33196e+07
SPO3037	"DNA-binding response regulator, LysR family"				1.36269e+06	1.29826e+06	1.19565e+06	1.26571e+06		1.40947e+06	1.48838e+06	1.52422e+06		1.50576e+06		1.39341e+06			
SPO3038	histidine kinase (EC 2.7.13.3)				335068	412433	416589	421056		385528	414925	424233		418921		384120			188463
SPO3039	"Polar amino acid uptake family ABC transporter, periplasmic substrate-binding protein, putative"				612048	524644	764594	771311		509402	538365	464702		527224		478202			
SPO3040	"Polar amino acid uptake family ABC transporter, periplasmic substrate-binding protein"						278944	496027		592990	16988.3	18230.3		24987.9		6427.77	125635	148939	
SPO3041	"Polar amino acid uptake family ABC transporter, permease protein"					4460.33		16724.4		32774.1									
SPO3042	"Polar amino acid uptake family ABC transporter, permease protein"						12193.5			14973.5									
SPO3043	"Glutamine ABC transporter, ATP-binding protein"				410469	771359	457413	497108		678961	543582	498977		436746		682577			
SPO3044	"Transcriptional regulator, LysR family"				162996	211045	224546	110619		178568	175463	143812		154650		184747			
SPO3045	"Glutamine amidotransferase, class I"				2.51693e+06	4.48278e+06	2.24974e+06	2.1378e+06		4.21568e+06	4.2276e+06	4.1048e+06		3.86595e+06		4.48739e+06			
SPO3049	"Dipeptide ABC transporter, periplasmic dipeptide-binding protein"				186129	122748	152933	105072		147163	98840.3	108957		97143.4		131615	336160	544208	531662
SPO3051	"Oxidoreductase, short-chain dehydrogenase/reductase family"				1.21937e+07	7.83362e+06	1.06339e+07	1.0827e+07	4.284e+06	7.74668e+06	6.15977e+06	6.30157e+06	5.3585e+06	6.38383e+06	4.1928e+06	7.29115e+06			
SPO3052	DUF1178 family protein				642356	564248	841894	902837		482604	643274	661452		577269		552386			
SPO3053	NUDIX domain protein				113592	82541.9	89516.8	128451		99839.6	99111.3	92988.8		80210.1		105889			
SPO3054	Protein EcsC				2.90639e+06	1.878e+06	3.09324e+06	3.03322e+06	1.29261e+07	1.765e+06	1.92284e+06	1.81273e+06		1.88778e+06		1.83079e+06		106022	
SPO3055	"Acetyltransferase, GNAT family"				1.15844e+06	1.22399e+06	1.18469e+06	1.27901e+06		1.28527e+06	1.59841e+06	1.5424e+06		1.59567e+06		1.31407e+06			
SPO3056	Flavin reductase like domain-containing protein				1.19149e+07	1.39567e+07	1.34057e+07	1.43003e+07	1.9622e+07	1.44094e+07	1.51865e+07	1.47906e+07	1.95895e+07	1.54594e+07	1.90636e+07	1.403e+07	1.11335e+07	1.1965e+07	1.14727e+07
SPO3057	"Streptogramin acetyltransferase, putative"				1.93171e+06	2.25549e+06	1.40055e+06	1.48513e+06		2.42754e+06	2.21626e+06	2.19644e+06		2.0715e+06		2.29193e+06			
SPO3058	Sulfate transporter family protein				4.9517e+06	5.65688e+06	5.33929e+06	5.39108e+06		5.43892e+06	6.10423e+06	6.23391e+06		5.82681e+06		5.79104e+06			
SPO3059	Uncharacterized protein				165238	86395.3	175269	251426		76032	35573.9	36350.4		30813.3		89106.8			
SPO3060	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP)				7.9721e+06	6.84366e+06	7.22731e+06	7.43639e+06	3.83198e+06	6.90774e+06	5.48395e+06	5.46835e+06	5.03064e+06	5.42464e+06	6.50464e+06	6.58966e+06		623774	
SPO3063	"Transmembrane efflux protein, homoserine/threonine (RhtB) family"				131294	100322	150250	146825		90471.3	98888	78554.8		111775		102229			
SPO3064	Ribbon-helix-helix protein CopG domain-containing protein				2.12643e+06	2.37749e+06	1.57799e+06	1.5133e+06		2.04726e+06	2.25602e+06	2.04717e+06		2.15621e+06		2.02953e+06	637317	998286	900795
SPO3065	Uncharacterized protein				56767.8		972621				1.47041e+06								
SPO3066	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)				2.91367e+06	3.05857e+06	4.23912e+06	4.1486e+06	1.60743e+06	2.7977e+06	3.28427e+06	3.1902e+06	2.31272e+06	3.0562e+06		2.96154e+06	4.98095e+06		5.48884e+06
SPO3067	"Oxidoreductase, FAD-binding protein"				1.67138e+06	1.20559e+06	1.41935e+06	1.37499e+06		1.12971e+06	1.16762e+06	1.07599e+06		1.17834e+06		1.15082e+06	2.36289e+06		
SPO3068	Zn-dependent hydrolase				1.6689e+06	1.20435e+06	1.72732e+06	1.77534e+06		1.06103e+06	850908	867832		1.01906e+06		1.04196e+06			
SPO3069	[ribosomal protein uS5]-alanine N-acetyltransferase (EC 2.3.1.267)				1.81061e+06	2.29285e+06	1.88921e+06	1.73835e+06		2.24207e+06	2.13837e+06	2.18982e+06		2.12792e+06		2.1521e+06			
SPO3070	"Peptidase, M16 family"				4.48098e+06	5.6104e+06	4.91902e+06	4.65602e+06	8.8604e+06	5.70847e+06	6.4617e+06	6.5434e+06	8.17933e+06	6.28224e+06	7.38474e+06	5.72246e+06	388879	520387	611102
SPO3071	Threonine synthase (EC 4.2.3.1)				1.46322e+07	1.47748e+07	1.43678e+07	1.48011e+07	1.16752e+07	1.40899e+07	1.4128e+07	1.45218e+07	1.13875e+07	1.41585e+07	1.22163e+07	1.40412e+07	243814	232728	336980
SPO3072	SURF1-like protein				4.59708e+06	5.07501e+06	4.4908e+06	4.51908e+06		5.15891e+06	4.69702e+06	4.63459e+06		4.69972e+06		5.44793e+06	1.18869e+08		
SPO3073	cytochrome-c oxidase (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III)				841057	1.42656e+06	1.25134e+06	1.06723e+06		1.51378e+06	2.51197e+06	2.31182e+06		2.24917e+06		1.94979e+06			
SPO3074	Cytochrome c oxidase assembly protein CtaG				1.58425e+06	648749	1.81467e+06	1.78523e+06		745803	1.89027e+06	1.96189e+06		1.98263e+06		757508			
SPO3075	Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase)				160202	172631	299980	201274		149111	292415	327635		305708		153410			
SPO3076	Cytochrome c oxidase subunit 2 (EC 7.1.1.9)				2.25679e+06	7.18319e+06	3.50872e+06	3.39489e+06		6.98194e+06	1.0307e+07	9.64455e+06		9.46258e+06		9.27953e+06			
SPO3077	TldD/PmbA family protein				5.45757e+06	5.34142e+06	5.22938e+06	5.34282e+06	2.08258e+06	5.37055e+06	5.09996e+06	5.04155e+06		5.20781e+06		5.70909e+06	464634	380936	773271
SPO3078	"DNA processing protein DprA, putative"				317504	138076	188520	258949		727738	239715			36028.2		676568			
SPO3079	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)				8.66678e+06	1.27278e+07	8.70202e+06	8.6977e+06	1.1138e+07	1.27893e+07	1.18773e+07	1.2152e+07	9.95762e+06	1.18579e+07	1.0274e+07	1.28066e+07	225221	259981	621459
SPO3080	"Transcriptional regulator, TetR family"				1.20257e+06	1.30446e+06	1.44456e+06	1.33719e+06		1.30859e+06	1.35095e+06	1.33211e+06		1.30768e+06		1.34197e+06			
SPO3081	Glyoxalase family protein				119776	871887	243347	267202		864334	725620	811025		750910		985492		926920	
SPO3082	"3-oxoadipate CoA-succinyl transferase, alpha subunit (EC 2.8.3.6)"				1.71422e+07	1.6338e+07	1.84433e+07	1.86623e+07	2.01619e+07	1.76432e+07	2.61923e+07	2.71377e+07	2.4848e+07	2.66978e+07	2.39441e+07	1.83074e+07	4.80345e+07	4.65587e+07	3.57882e+07
SPO3083	"3-oxoadipate CoA-succinyl transferase, beta subunit (EC 2.8.3.6)"				1.07271e+07	1.30835e+07	1.21726e+07	1.20068e+07	1.80886e+07	1.36943e+07	1.88284e+07	1.75959e+07	2.47501e+07	1.7962e+07	2.43395e+07	1.37936e+07	2.35586e+07	1.94086e+07	1.84247e+07
SPO3084	"Transglycosylase, Slt family"				283298	43824	187703	158043		48139.2	115764			60642.5					
SPO3086	CpaB family protein				494373	472367	568211	479247	3.27154e+07	558417	1.38444e+06	1.34457e+06		1.37739e+06		513597	7.87956e+06	5.75474e+06	1.36939e+07
SPO3087	Bacterial type II/III secretion system protein				5.79123e+06	5.78061e+06	6.33747e+06	6.14845e+06	8.03038e+06	5.88709e+06	6.34188e+06	6.26585e+06		6.6398e+06	1.84695e+07	6.0848e+06	1.20365e+06	1.4406e+06	1.27645e+06
SPO3088	OmpA family protein				5.83847e+06	8.7924e+06	5.51545e+06	5.42525e+06	1.88394e+06	9.57182e+06	7.36395e+06	7.36055e+06	1.55914e+06	7.4464e+06	1.96642e+06	8.87843e+06	1.10567e+06	1.4353e+06	1.09298e+06
SPO3089	"ATPase, putative"				1.07515e+06	1.18496e+06	1.27231e+06	1.34796e+06		1.09425e+06	1.57501e+06	1.67317e+06		1.62166e+06		1.01275e+06			
SPO3090	"Type II/IV secretion system protein, TadA subfamily"				620981	731896	636077	598927		663363	853106	878656		908818		706220			222402
SPO3091	"Type II/IV secretion system protein, TadC subfamily"				926380	1.01033e+06	1.03863e+06	983480		930166	1.32272e+06	1.26954e+06		1.29087e+06		1.01863e+06		221371	
SPO3092	"Type II/IV secretion system protein, TadC subfamily"				733549	553910	631220	665623		607092	751817	767482		753985		535663	118054		
SPO3093	TPR domain protein				1.71925e+06	2.59994e+06	2.05129e+06	2.02487e+06	1.72722e+06	2.62311e+06	2.08495e+06	2.06328e+06		2.11011e+06		2.768e+06	1.55133e+06	2.0035e+06	1.20008e+06
SPO3094	"Lipoprotein, putative"				4.33393e+06	9.76768e+06	5.22835e+06	5.25036e+06	1.04409e+07	9.84467e+06	1.09304e+07	1.12508e+07	9.70169e+06	1.10768e+07	8.04804e+06	1.01818e+07	1.0336e+07	1.1217e+07	8.27563e+06
SPO3096	ATPase				1.6157e+06	1.69965e+06	1.44944e+06	1.45627e+06		1.794e+06	2.6701e+06	2.67595e+06		2.70008e+06		1.95038e+06			
SPO3097	3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)				466368	678762	388024	410827		700001	679489	742730		735590		666368			
SPO3098	"ATP-dependent helicase, DEAD/DEAH box family"				678670	687507	751090	719266		646648	608179	628250		646840		639004			
SPO3099	Calcineurin-like phosphoesterase domain-containing protein				487264	531305	377181	431019		469339	472208	401689		452055		479707			
SPO3100	HTH LytTR-type domain-containing protein				290889	955583	235121	244388		950904	959895	900457		972009		929538			
SPO3104	MOSC domain protein				6.33998e+06	5.13232e+06	5.19732e+06	5.55387e+06	5.26921e+06	5.21407e+06	4.98171e+06	4.94056e+06		4.95876e+06		5.17715e+06			
SPO3105	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)				2.29508e+07	2.46433e+07	2.42038e+07	2.38002e+07	5.44025e+06	2.40071e+07	2.45776e+07	2.4981e+07	4.62203e+06	2.40728e+07	8.15543e+06	2.54582e+07	1.40371e+07	8.2555e+06	1.81363e+06
SPO3106	tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)				665240	917766	704037	714782		885876	933307	924454		894887		922102			
SPO3107	Cell division coordinator CpoB				7.28978e+06	1.39512e+07	1.11147e+07	1.17855e+07	3.22105e+07	1.45346e+07	1.27118e+07	1.21529e+07	2.44617e+07	1.27825e+07	3.40635e+07	1.5467e+07	5.68166e+06	7.21806e+06	6.20408e+06
SPO3108	Peptidoglycan-associated lipoprotein (PAL)				2.2093e+07	2.15721e+07	1.6908e+07	1.67121e+07	7.91735e+06	2.2002e+07	1.85832e+07	1.82605e+07	9.21581e+06	1.94081e+07	8.95405e+06	1.989e+07	1.11982e+07	1.20591e+07	8.58696e+06
SPO3109	Tol-Pal system protein TolB				1.6719e+07	1.94968e+07	1.55854e+07	1.53521e+07	2.34437e+07	2.19515e+07	1.76152e+07	1.83257e+07	2.34419e+07	1.83123e+07	2.68995e+07	2.12494e+07	7.33434e+06	9.66528e+06	6.61344e+06
SPO3110	"TonB domain protein, putative"				2.60765e+06	3.36653e+06	2.85342e+06	3.02267e+06	1.86334e+06	3.51238e+06	3.51185e+06	3.41646e+06	3.70954e+06	3.68903e+06	1.35971e+06	3.49329e+06	135405	164548	1.83952e+06
SPO3111	"Biopolymer transport protein, ExbD/TolR family"				7.86309e+06	6.81135e+06	3.76141e+06	3.66692e+06		7.10217e+06	6.0508e+06	5.55924e+06		5.91601e+06		7.13587e+06	29884.3	43239	28074.6
SPO3112	Tol-Pal system protein TolQ				1.48211e+07	1.51137e+07	7.16928e+06	6.95165e+06		1.71332e+07	1.20609e+07	1.32787e+07		1.25972e+07		1.56884e+07	146780	179449	
SPO3113	Uncharacterized protein				1.21202e+06	1.90862e+06	1.98403e+06	1.8419e+06		1.78215e+06	1.67333e+06	1.59069e+06		1.61284e+06		1.7955e+06			
SPO3114	Uncharacterized protein				2.24198e+06	3.66672e+06	3.75057e+06	3.4248e+06		3.15404e+06	3.38863e+06	3.48481e+06		3.17853e+06		3.2702e+06			
SPO3115	Holliday junction branch migration complex subunit RuvB (EC 3.6.4.-)				3.49711e+06	3.00379e+06	3.44843e+06	3.29366e+06		2.9739e+06	3.28845e+06	3.14361e+06		3.20813e+06		2.97757e+06			
SPO3116	Holliday junction branch migration complex subunit RuvA				1.6547e+06	2.02967e+06	2.53721e+06	2.54097e+06		2.20642e+06	2.66521e+06	2.52816e+06	1.86326e+06	2.64623e+06		2.19307e+06		89827.8	
SPO3117	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)				1.36045e+06	1.85466e+06	1.52025e+06	1.41868e+06		1.63158e+06	2.21751e+06	2.03726e+06		2.08477e+06		1.63236e+06			
SPO3118	DUF1127 domain-containing protein				158748	120820	71093.8	226067		109195	86659.1	81399.2		69808.3		127496			
SPO3119	Uncharacterized protein				246308	152332	193999	181761		168397	231222	261942		331751		145259			
SPO3120	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)				1.77266e+06	3.08834e+06	2.3091e+06	2.29281e+06		2.79638e+06	3.19278e+06	2.89409e+06		3.23601e+06		2.63055e+06	98216.1		
SPO3121	MATE efflux family protein				111841	130083	103820	222341		128561	215529	228049		212096		137999			
SPO3122	"Membrane protein, putative"				14063.2	62527.5	29183.5	46269.1		54777.5	58322.2	65544.3		47339.1		58078.8			
SPO3123	YeeE/YedE family protein				82045.8	13617	75725.4	68898.8		22123.9	11525.7			15816					
SPO3124	Lipoprotein				123536	387488	91069.1	131417		367873	295929	309077		339993		396914	8.63906e+06	1.04613e+07	8.91103e+06
SPO3125	"RNA polymerase sigma-70 factor, ECF family"				46669.2	62786.9	36149.3	26465.4		56290.2	43624.9	49962.3		30460.7		70650.9			
SPO3126	"Sigma factor regulator PrtR, putative"				383868	324443	499853	436013		330986	403167	398840		420754		326513			
SPO3127	Primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA)				1.94469e+06	1.42637e+06	1.64088e+06	1.62379e+06		1.42508e+06	1.47996e+06	1.39182e+06		1.40012e+06		1.44277e+06			
SPO3128	Probable transaldolase (EC 2.2.1.2)				2.13527e+07	2.11641e+07	2.67119e+07	2.61066e+07	1.81282e+07	2.24175e+07	2.62874e+07	2.54757e+07	1.56943e+07	2.72816e+07	1.92311e+07	2.42962e+07	203121	279525	549617
SPO3129	Recombinase XerC				1.91045e+06	3.18746e+06	2.36521e+06	1.94171e+06		3.1912e+06	3.7122e+06	3.54224e+06		3.86084e+06		3.43301e+06			
SPO3130	Tyrosine recombinase XerC				684993	854006	630398	579843		875818	1.18664e+06	1.15137e+06		1.19468e+06		890765			
SPO3132	Methyltransferase type 12 domain-containing protein				356489	157132				162564	144114	126809		69804.4		133283			
SPO3133	Transcription elongation factor				2.5556e+06	3.32919e+06	4.25206e+06	4.28496e+06	2.56386e+06	3.12289e+06	2.51448e+06	2.40744e+06	7.04816e+06	2.54033e+06		3.28492e+06			544036
SPO3134	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)				1.17779e+06	1.08875e+06	1.0822e+06	1.05304e+06		1.1543e+06	1.02065e+06	1.04682e+06		1.02626e+06		1.15345e+06			
SPO3135	"Peptidase, T4 family"				884913	873407	906151	946030		836473	881733	890864		998294		832127		177764	
SPO3136	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)				8.57264e+06	9.60798e+06	1.01883e+07	9.7711e+06	1.22625e+07	9.29653e+06	1.06187e+07	1.05668e+07	1.23626e+07	1.05067e+07	1.13059e+07	9.54568e+06	126272	137853	155068
SPO3137	Lipoprotein				1.35538e+07	1.34639e+07	1.32525e+07	1.3419e+07	3.66582e+06	1.38088e+07	1.74673e+07	1.68605e+07	5.24023e+06	1.7287e+07	4.25176e+06	1.45482e+07	3.46106e+06	4.1532e+06	2.99944e+06
SPO3138	Integral membrane protein				424602	561919	572203	568377		479852	402178	349175		416326		410823			
SPO3139	Globin family protein				269850	400712	213760	161921		381458	590256	430893		456967		408698			
SPO3140	TIGR01620 family protein				2.6851e+06	1.55274e+06	2.36134e+06	2.3504e+06		1.51552e+06	1.61281e+06	1.63571e+06		1.67656e+06		1.56779e+06			
SPO3141	"Acetyltransferase, GNAT family"					128133	124263			85049	74830.9	91488.2		94922.6		123015			
SPO3142	YcjX family protein				2.76211e+06	2.0388e+06	2.80277e+06	3.04783e+06		1.93072e+06	2.06908e+06	2.03604e+06		1.98774e+06		1.98176e+06	1.17868e+06	1.28224e+06	928913
SPO3143	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)				1.40864e+06	1.95841e+06	1.5261e+06	1.53043e+06	2.4053e+06	1.93166e+06	2.02155e+06	1.9634e+06		1.97568e+06		1.96384e+06	330060	265120	320423
SPO3144	Uncharacterized protein				446845	633450	553512	519867		574982	624443	652650		651455		585973			
SPO3145	GumN family protein				2.09092e+06	2.7402e+06	1.9875e+06	1.93337e+06		2.80984e+06	2.00669e+06	2.04584e+06		2.02728e+06	3.28593e+06	2.73234e+06		56246.5	
SPO3146	GumN family protein				676344	1.05904e+06	1.26139e+06	1.23196e+06		1.03258e+06	1.01696e+06	931917		975885		1.04613e+06			
SPO3147	inorganic diphosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase)				2.02437e+07	3.6549e+07	3.09976e+07	3.27059e+07	4.69822e+07	3.72603e+07	4.03022e+07	3.86953e+07	4.92265e+07	4.18516e+07	4.69377e+07	3.75241e+07	9.63399e+06	5.43756e+06	7.85821e+06
SPO3148	Uncharacterized protein				166779	285050	234235	209716		265858	304871	280228		266841		283663			
SPO3149	CENP-V/GFA domain-containing protein				542491	425376	491408	514837		383969	307396	273252		341062		378486			
SPO3150	"Transcriptional regulator, AraC family"				344089	324203	268749	287439		340121	318304	294864		291451		355733			
SPO3151	"HAD-superfamily subfamily IIA hydrolase, TIGR01459"				3.47328e+06	4.77596e+06	4.35073e+06	4.56041e+06	1.02912e+07	4.59653e+06	4.71168e+06	4.54673e+06	1.09354e+07	4.57319e+06	7.84116e+06	4.7521e+06	533144	1.20509e+06	456723
SPO3152	MaoC domain protein				1.6696e+06	2.71515e+06	1.44496e+06	1.51242e+06		2.28333e+06	3.26959e+06	3.08742e+06	1.62649e+06	3.05345e+06		2.25086e+06			
SPO3153	"Monooxygenase, putative"				75948.4	66756.4	53365.8	74697.9		67638	100788	113593		134346		69861.9			
SPO3154	Riboflavin biosynthesis protein [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]				4.92995e+06	4.64172e+06	5.03691e+06	5.33886e+06	3.99172e+06	4.58733e+06	4.73304e+06	4.71466e+06		4.73419e+06		4.80556e+06	79242.2	780819	285933
SPO3155	UPF0260 protein SPO3155				168724	422230	337394	318546		418881	452076	360754		425630		400419			
SPO3156	"L-threonine aldolase, low-specificity, putative"				1.11643e+07	7.80604e+06	1.15686e+07	1.14632e+07	9.32918e+06	8.12955e+06	8.85734e+06	8.87925e+06	5.64168e+06	8.59072e+06	7.56033e+06	8.34629e+06	1.06681e+07	1.37319e+07	1.17148e+07
SPO3157	"Hydrolase, alpha/beta fold family"				8.4e+06	6.30638e+06	5.32484e+06	5.91634e+06	2.51907e+06	7.09086e+06	6.93917e+06	6.76867e+06	2.44496e+06	6.65534e+06	2.48053e+06	6.47289e+06			
SPO3158	2-hydroxychromene-2-carboxylate isomerase (EC 5.99.1.4)				1.02368e+07	5.96566e+06	8.62553e+06	9.13936e+06	1.32574e+06	6.6019e+06	7.28591e+06	6.7068e+06	2.63112e+06	6.74657e+06	4.8303e+06	5.83589e+06			
SPO3159	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)				1.45025e+07	1.13038e+07	1.59355e+07	1.5231e+07	9.35578e+06	1.11758e+07	1.29657e+07	1.2816e+07	1.01092e+07	1.27213e+07	8.00098e+06	1.18436e+07			
SPO3160	H-type lectin domain-containing protein				350508	615803	530611	475704		555258	663828	729237		695267		569982			
SPO3161	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)				1.36198e+07	3.67806e+07	3.20024e+07	3.1514e+07	7.00976e+06	3.4684e+07	4.17075e+07	3.9256e+07	2.68412e+06	4.08702e+07		3.9329e+07	946082	765556	532712
SPO3162	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)				9.97046e+07	1.0099e+08	1.12609e+08	1.12245e+08	1.34452e+07	1.09493e+08	1.20752e+08	1.20167e+08	1.02772e+07	1.23537e+08	1.31445e+07	1.10958e+08	700434	804792	1.09035e+06
SPO3163	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)				2.72495e+07	3.2791e+07	2.39956e+07	2.39004e+07		3.44439e+07	3.39417e+07	3.42781e+07	1.04925e+06	3.34513e+07		3.49974e+07	123595	197294	184382
SPO3164	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)				1.30967e+08	1.36688e+08	1.332e+08	1.31228e+08	1.45829e+07	1.34651e+08	1.62993e+08	1.65413e+08	1.55138e+07	1.66186e+08	2.01804e+07	1.31016e+08	962330	1.13835e+06	1.15353e+06
SPO3165	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)				3.88516e+07	3.35884e+07	2.99661e+07	2.73691e+07	1.6639e+06	3.04887e+07	2.98839e+07	3.04603e+07		2.89531e+07	8.18277e+07	3.22156e+07	1.40193e+06	774266	144003
SPO3166	Lipoprotein				3.93561e+06	3.50299e+06	2.86384e+06	3.5866e+06	1.31905e+07	3.51168e+06	3.94792e+06	3.94739e+06	2.51179e+07	4.12219e+06	2.50539e+07	3.3915e+06	9.56882e+06	1.16307e+07	6.33576e+06
SPO3167	Methyltransferase type 11 domain-containing protein				1.22253e+06	805236	1.12443e+06	1.10497e+06		791494	740107	707909		683051		722943	4.82174e+06		4.1737e+06
SPO3168	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (Glx II)				7.59713e+06	6.46921e+06	7.4174e+06	8.47343e+06	8.37916e+06	6.31756e+06	5.22932e+06	5.14992e+06	9.40998e+06	5.27189e+06	6.91906e+06	6.60013e+06	1.06481e+07	1.18815e+07	1.03823e+07
SPO3169	"ATP-dependent Clp protease, ATP-binding subunit ClpA"				1.18545e+07	9.48249e+06	1.17927e+07	1.21938e+07	6.84235e+06	9.52134e+06	1.13374e+07	1.12389e+07	1.04467e+07	1.15082e+07	7.84318e+06	9.78222e+06	393689	225111	407210
